title,description,unit_type,rental_mode,price,room_price,bed_price,city,district,address,distance_to_university,nearby_universities,num_rooms,num_beds,num_bathrooms,gender_preference,has_internet,has_water,has_electricity,has_gas,has_ac,min_stay_months,max_stay_months,status,landlord_username
Apartment at El Sabe'a,"Rent billed semester. Nearby: Pharmacy, Hospital / Medical Center, Bakery, Restaurants & Cafes, Mosque, Gym. Room breakdown — Room 1 (Double): Private Bath, Balcony, Fan, Mirror | Room 2 (Double): Balcony, Private Bath, Mirror, Private TV | Room 3 (Single): Wardrobe, Mirror, Window / View, Desk | Room 4 (Single): Private Bath, Mirror, Desk, Window / View",apartment,whole_apartment,34150,,,Ismailia,El Sabe'a,"El Raqaba El Edaria St, 3emara 4 - Odam El Raqaba",1.5 km,Suez Canal University,4,6,1,any,True,True,False,True,True,4,,available,imported_ismailia_listings
Apartment at Arishiyat Misr,"Rent billed monthly. Nearby: Hospital / Medical Center, Church, Pharmacy, Mosque, Bakery, Supermarket / Grocery. Room breakdown — Room 1 (Triple): Private Bath, Fan, Wardrobe, Window / View, Iron & Ironing Board | Room 2 (Triple): Private Bath, Balcony, Wardrobe, Fan, Desk",apartment,whole_apartment,5950,,,Ismailia,Arishiyat Misr,"Portsaid St, 3emara 80 - Odam Gam3 Abu Bakr El Seddik",4.97 km,Suez Canal University,2,6,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Apartment at Arishiyat Misr,"Rent billed monthly. Nearby: Dry Clean / Laundry, Supermarket / Grocery, Bakery, Mosque, Restaurants & Cafes, Church. Room breakdown — Room 1 (Double): Private Bath, Private TV, Desk, Wardrobe | Room 2 (Single): Private Bath, Mirror, Desk, Window / View | Room 3 (Single): Wardrobe, Mirror, Window / View, Desk | Room 4 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View",apartment,whole_apartment,6150,,,Ismailia,Arishiyat Misr,"Portsaid St, 3emara 80 - Odam Gam3 Abu Bakr El Seddik",4.52 km,Suez Canal University,4,5,1,any,True,True,True,False,False,1,,available,imported_ismailia_listings
Apartment at Old University,"Rent billed monthly. Nearby: Mosque, Church, Dry Clean / Laundry, Pharmacy, Restaurants & Cafes, Public Transport Station. Room breakdown — Room 1 (Double): Private Bath, Balcony, Fan, Mirror | Room 2 (Double): AC, Desk, Iron & Ironing Board, Wardrobe | Room 3 (Single): AC, Wardrobe, Mirror, Window / View | Room 4 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View",apartment,whole_apartment,5750,,,Ismailia,Old University,"Mohamed Ali St, 3emara 10 - Odam Vila El Mohafiz",5.81 km,Suez Canal University,4,6,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Studio at Sheikh Zayed,"Rent billed monthly. Nearby: Gym, Supermarket / Grocery, Bakery, ATM, Restaurants & Cafes, Hospital / Medical Center. Room breakdown — Room 1 (Single): Balcony, Mirror, Wardrobe, Private TV",apartment,whole_apartment,3200,,,Ismailia,Sheikh Zayed,"El Herfeyeen St, 3emara 7 - Wara Nadi El Montazah",3.23 km,Suez Canal University,1,1,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Studio at Fox,"Rent billed semester. Nearby: Dry Clean / Laundry, Church, Pharmacy, ATM, Supermarket / Grocery, Restaurants & Cafes. Room breakdown — Room 1 (Single): Balcony, Mirror, Wardrobe, Private TV",apartment,whole_apartment,13050,,,Ismailia,Fox,"El Abraj St, 3emara 5 - El Dor El Ardi",4.12 km,Suez Canal University,1,1,1,any,True,True,True,False,False,4,,available,imported_ismailia_listings
Apartment at El Sabe'a,"Rent billed monthly. Nearby: Supermarket / Grocery, Public Transport Station, Pharmacy, Church, Restaurants & Cafes, Bakery. Room breakdown — Room 1 (Double): Private Bath, Balcony, Fan, Mirror | Room 2 (Single): Mini Fridge, Private TV, Wardrobe, Desk | Room 3 (Single): Study Desk & Chair, Iron & Ironing Board, Private TV | Room 4 (Single): Private Bath, Mirror, Desk, Window / View",apartment,whole_apartment,6300,,,Ismailia,El Sabe'a,"3emara 55, El Me3maria St - Ganb Nadi El Kahraba",1.22 km,Suez Canal University,4,5,1,any,True,False,True,True,True,1,,available,imported_ismailia_listings
Apartment at El Eshreeni,"Rent billed semester. Nearby: Supermarket / Grocery, Bakery, ATM, Church, Public Transport Station, Gym. Room breakdown — Room 1 (Triple): AC, Private Bath, Wardrobe, Mirror, Desk | Room 2 (Double): Private Bath, Private TV, Desk, Wardrobe",apartment,whole_apartment,35650,,,Ismailia,El Eshreeni,"3emara 33, Hoda Shaarawy St - Odam El Forn El Aly",2.37 km,Suez Canal University,2,5,1,any,False,True,True,True,False,4,,available,imported_ismailia_listings
Studio at Ard El Gami'at,"Rent billed monthly. Nearby: ATM, Pharmacy, Public Transport Station, Dry Clean / Laundry, Church, Restaurants & Cafes. Room breakdown — Room 1 (Double): Balcony, Private Bath, Mirror, Private TV",apartment,whole_apartment,3700,,,Ismailia,Ard El Gami'at,"Gam3eyet El 3asher, 3emara 20 - Odam Mostashfa El Takhasosi",4.12 km,Suez Canal University,1,2,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Apartment at Shebin,"Rent billed monthly. Nearby: Dry Clean / Laundry, ATM, Church, Pharmacy, Bakery, Public Transport Station. Room breakdown — Room 1 (Single): Mini Fridge, Private TV, Wardrobe, Desk | Room 2 (Single): AC, Wardrobe, Mirror, Window / View | Room 3 (Single): Wardrobe, Mirror, Window / View, Desk | Room 4 (Single): Mini Fridge, Private TV, Wardrobe, Desk",apartment,whole_apartment,6700,,,Ismailia,Shebin,"3emara 40, Ibrahim Salama St",2.38 km,Suez Canal University,4,4,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Apartment at El Khamssa,"Rent billed semester. Nearby: Supermarket / Grocery, Dry Clean / Laundry, Mosque, Pharmacy, Public Transport Station, Gym. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Mirror | Room 2 (Double): Mini Fridge, Mirror, Desk, Window / View | Room 3 (Single): Private Bath, Mirror, Desk, Window / View",apartment,whole_apartment,33500,,,Ismailia,El Khamssa,El Komsiuon El Tebbi St - Borj El Ataba - Floor 3,1.18 km,Suez Canal University,3,5,1,any,True,True,True,False,False,4,,available,imported_ismailia_listings
Apartment at Hay El Salam,"Rent billed monthly. Nearby: Mosque, Bakery, Pharmacy, Supermarket / Grocery, Public Transport Station, Hospital / Medical Center. Room breakdown — Room 1 (Triple): Private Bath, Balcony, Wardrobe, Fan, Desk | Room 2 (Double): AC, Desk, Iron & Ironing Board, Mirror",apartment,whole_apartment,6450,,,Ismailia,Hay El Salam,"3emara 110, Tanta St",3.23 km,Suez Canal University,2,5,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Apartment at Hay El Salam,"Rent billed monthly. Nearby: ATM, Gym, Supermarket / Grocery, Church, Pharmacy, Mosque. Room breakdown — Room 1 (Double): Private Bath, Private TV, Desk, Wardrobe | Room 2 (Double): AC, Desk, Iron & Ironing Board, Wardrobe",apartment,whole_apartment,4650,,,Ismailia,Hay El Salam,"El Bahary St, 3emara 50",3.7 km,Suez Canal University,2,4,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Apartment at El Eshreeni,"Rent billed semester. Nearby: Gym, ATM, Public Transport Station, Pharmacy, Bakery, Church. Room breakdown — Room 1 (Double): Balcony, Private Bath, Mirror, Private TV | Room 2 (Double): Mini Fridge, Mirror, Desk, Window / View",apartment,whole_apartment,30850,,,Ismailia,El Eshreeni,El Eshreeni St x Hoda Shaarawy - Odam Kheir Zaman,1.11 km,Suez Canal University,2,4,1,any,True,True,True,False,False,4,,available,imported_ismailia_listings
Apartment at Shebin,"Rent billed monthly. Nearby: ATM, Mosque, Gym, Supermarket / Grocery, Dry Clean / Laundry, Public Transport Station. Room breakdown — Room 1 (Triple): Private Bath, Fan, Wardrobe, Window / View, Iron & Ironing Board | Room 2 (Triple): Study Desk & Chair, Mini Fridge, AC, Mirror, Private TV",apartment,whole_apartment,7300,,,Ismailia,Shebin,"El Safwa Tower, Shebin St - Odam Magma3 El Ma7akem",2.13 km,Suez Canal University,2,6,1,any,True,True,False,True,False,1,,available,imported_ismailia_listings
Shared Room at El Sabe'a,"Rent billed monthly. Nearby: Church, ATM, Mosque, Bakery, Hospital / Medical Center, Public Transport Station. Room breakdown — Room 1 (Triple): Mini Fridge, AC, Iron & Ironing Board, Mirror, Wardrobe",room,,,4800,,Ismailia,El Sabe'a,"3emara 55, El Me3maria St - Ganb Nadi El Kahraba",1.44 km,Suez Canal University,1,3,1,any,False,True,True,True,True,1,,available,imported_ismailia_listings
Apartment at El Khamssa,"Rent billed monthly. Nearby: Restaurants & Cafes, Gym, Public Transport Station, Supermarket / Grocery, Bakery, Dry Clean / Laundry. Room breakdown — Room 1 (Double): Balcony, Private Bath, Mirror, Private TV | Room 2 (Single): Balcony, Mirror, Wardrobe, Private TV | Room 3 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View | Room 4 (Single): Private Bath, Mirror, Desk, Window / View",apartment,whole_apartment,7800,,,Ismailia,El Khamssa,"3emara 7, El Khamssa - Ganb El Wehda El Se7eya",1.13 km,Suez Canal University,4,5,1,any,True,True,False,True,True,1,,available,imported_ismailia_listings
Apartment at Ard El Gami'at,"Rent billed monthly. Nearby: Gym, Pharmacy, Restaurants & Cafes, Mosque, ATM, Public Transport Station. Room breakdown — Room 1 (Single): AC, Wardrobe, Mirror, Window / View | Room 2 (Single): Private Bath, Mirror, Desk, Window / View | Room 3 (Single): Wardrobe, Mirror, Window / View, Desk | Room 4 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View",apartment,whole_apartment,4500,,,Ismailia,Ard El Gami'at,"Gam3eyet El 3asher, 3emara 20 - Odam Mostashfa El Takhasosi",4.92 km,Suez Canal University,4,4,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Apartment at Arishiyat Misr,"Rent billed semester. Nearby: Hospital / Medical Center, Gym, Pharmacy, ATM, Restaurants & Cafes, Bakery. Room breakdown — Room 1 (Double): Private Bath, Private TV, Desk, Wardrobe | Room 2 (Double): AC, Desk, Iron & Ironing Board, Mirror",apartment,whole_apartment,25050,,,Ismailia,Arishiyat Misr,"Harat El Meliqy, Men Sekka Hadid St - Beit No. 4",4.68 km,Suez Canal University,2,4,1,any,True,False,True,True,False,4,,available,imported_ismailia_listings
Apartment at Arishiyat Misr,"Rent billed monthly. Nearby: Supermarket / Grocery, Pharmacy, ATM, Restaurants & Cafes, Bakery, Mosque. Room breakdown — Room 1 (Single): Mini Fridge, Private TV, Wardrobe, Desk | Room 2 (Single): Mini Fridge, Private TV, Wardrobe, Desk | Room 3 (Single): Balcony, Mirror, Wardrobe, Private TV | Room 4 (Single): Private Bath, Mirror, Desk, Window / View",apartment,whole_apartment,4800,,,Ismailia,Arishiyat Misr,"El Sekka El Hadid St, 3emara 12 - Odam Warash El Sekka El Hadid",5.94 km,Suez Canal University,4,4,1,any,True,True,True,False,False,1,,available,imported_ismailia_listings
Apartment at El Eshreeni,"Rent billed semester. Nearby: Dry Clean / Laundry, Public Transport Station, Church, ATM, Hospital / Medical Center, Mosque. Room breakdown — Room 1 (Triple): Study Desk & Chair, Mini Fridge, AC, Mirror, Private TV | Room 2 (Double): Private Bath, Private TV, Desk, Wardrobe",apartment,whole_apartment,34700,,,Ismailia,El Eshreeni,"3emara 18, El Mansoura St - Ganb El Gam3eya El Khayrya",1.17 km,Suez Canal University,2,5,1,any,False,True,True,True,False,4,,available,imported_ismailia_listings
Studio at Arishiyat Misr,"Rent billed monthly. Nearby: Hospital / Medical Center, Church, Supermarket / Grocery, Dry Clean / Laundry, ATM, Public Transport Station. Room breakdown — Room 1 (Single): Wardrobe, Mirror, Window / View, Desk",apartment,whole_apartment,2500,,,Ismailia,Arishiyat Misr,"3emara 25, Portsaid St - Ganb Mezla2an El Atr",5.41 km,Suez Canal University,1,1,1,any,True,False,True,True,True,1,,available,imported_ismailia_listings
Shared Room at El Khamssa,"Rent billed monthly. Nearby: Restaurants & Cafes, Dry Clean / Laundry, Gym, Public Transport Station, Church, Hospital / Medical Center. Room breakdown — Room 1 (Triple): AC, Private Bath, Wardrobe, Mirror, Desk",room,,,4600,,Ismailia,El Khamssa,El Komsiuon El Tebbi St - Borj El Ataba - Floor 3,1.36 km,Suez Canal University,1,3,1,any,True,False,True,True,False,1,,available,imported_ismailia_listings
Studio at El Eshreeni,"Rent billed monthly. Nearby: Gym, Dry Clean / Laundry, Pharmacy, Supermarket / Grocery, Restaurants & Cafes, Church. Room breakdown — Room 1 (Single): Private Bath, Mirror, Desk, Window / View",apartment,whole_apartment,5400,,,Ismailia,El Eshreeni,El Eshreeni St x Hoda Shaarawy - Odam Kheir Zaman,2.53 km,Suez Canal University,1,1,1,any,True,True,True,False,False,1,,available,imported_ismailia_listings
Studio at Old University,"Rent billed monthly. Nearby: Public Transport Station, Supermarket / Grocery, Gym, Mosque, ATM, Church. Room breakdown — Room 1 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View",apartment,whole_apartment,3400,,,Ismailia,Old University,"3emara 20, 1 St - Ganb Kobri El Gam3a",6.25 km,Suez Canal University,1,1,1,any,True,False,True,True,False,1,,available,imported_ismailia_listings
Apartment at The Stadium,"Rent billed monthly. Nearby: Pharmacy, Mosque, Dry Clean / Laundry, Supermarket / Grocery, ATM, Public Transport Station. Room breakdown — Room 1 (Double): Mini Fridge, Mirror, Desk, Window / View | Room 2 (Single): Mini Fridge, Private TV, Wardrobe, Desk | Room 3 (Single): Balcony, Mirror, Wardrobe, Private TV | Room 4 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View",apartment,whole_apartment,5200,,,Ismailia,The Stadium,"Reda St, 3emara 45 - Odam Bawabet El Nadi El Ismaeili",4.2 km,Suez Canal University,4,5,1,any,True,True,False,True,True,1,,available,imported_ismailia_listings
Apartment at El Khamssa,"Rent billed monthly. Nearby: ATM, Supermarket / Grocery, Public Transport Station, Pharmacy, Hospital / Medical Center, Church. Room breakdown — Room 1 (Double): Private Bath, Balcony, Fan, Mirror | Room 2 (Single): Wardrobe, Mirror, Window / View, Desk | Room 3 (Single): Mini Fridge, Private TV, Wardrobe, Desk | Room 4 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View",apartment,whole_apartment,8100,,,Ismailia,El Khamssa,"El 500 Wahda, 3emara 12 - Odam Saydaleyet El Salam",1.08 km,Suez Canal University,4,5,1,any,True,False,True,True,False,1,,available,imported_ismailia_listings
Shared Room at Sheikh Zayed,"Rent billed monthly. Nearby: Dry Clean / Laundry, Hospital / Medical Center, Mosque, Restaurants & Cafes, Gym, Bakery. Room breakdown — Room 1 (Triple): Private Bath, Balcony, Wardrobe, Fan, Desk",room,,,3650,,Ismailia,Sheikh Zayed,"El Kakola St, 3emara 14 - Ganb Madkhal Ard El Gam3eyat",3.31 km,Suez Canal University,1,3,1,any,True,True,False,True,False,1,,available,imported_ismailia_listings
Apartment at El Mamar,"Rent billed semester. Nearby: Hospital / Medical Center, Mosque, Pharmacy, Restaurants & Cafes, Public Transport Station, Bakery. Room breakdown — Room 1 (Double): Private Bath, Private TV, Desk, Wardrobe | Room 2 (Double): Private Bath, Balcony, Fan, Mirror | Room 3 (Double): Private Bath, Balcony, Fan, Mirror",apartment,whole_apartment,27450,,,Ismailia,El Mamar,"Bank Misr St, Makkah Tower - Fo2 Cilantro Café",4.76 km,Suez Canal University,3,6,1,any,True,True,False,True,False,4,,available,imported_ismailia_listings
Apartment at El Thalatini,"Rent billed monthly. Nearby: Dry Clean / Laundry, Hospital / Medical Center, Pharmacy, Supermarket / Grocery, Gym, Mosque. Room breakdown — Room 1 (Double): Private Bath, Private TV, Desk, Wardrobe | Room 2 (Double): AC, Desk, Iron & Ironing Board, Mirror",apartment,whole_apartment,5100,,,Ismailia,El Thalatini,"3emara 90, El Thalatini St - Ganb Maw2af El Ferdaws",4.44 km,Suez Canal University,2,4,1,any,False,True,True,True,False,1,,available,imported_ismailia_listings
Apartment at Shebin,"Rent billed semester. Nearby: Pharmacy, Public Transport Station, ATM, Church, Hospital / Medical Center, Bakery. Room breakdown — Room 1 (Double): Private Bath, Private TV, Desk, Wardrobe | Room 2 (Single): Study Desk & Chair, Iron & Ironing Board, Private TV | Room 3 (Single): Balcony, Mirror, Wardrobe, Private TV",apartment,whole_apartment,30650,,,Ismailia,Shebin,"3emara 25, Shebin St - Ganb Genenet El Ghabah",2.25 km,Suez Canal University,3,4,1,any,False,True,True,True,True,4,,available,imported_ismailia_listings
Apartment at Arishiyat Misr,"Rent billed semester. Nearby: Supermarket / Grocery, Restaurants & Cafes, Gym, ATM, Bakery, Dry Clean / Laundry. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Mirror | Room 2 (Double): Balcony, Private Bath, Mirror, Private TV | Room 3 (Single): Study Desk & Chair, Iron & Ironing Board, Private TV | Room 4 (Single): Study Desk & Chair, Mini Fridge, Wardrobe, Window / View",apartment,whole_apartment,27650,,,Ismailia,Arishiyat Misr,"3emara 40, Arishiyat Misr - Ganb El Madrasa El Ebteda2i",4.61 km,Suez Canal University,4,6,1,any,True,True,False,True,False,4,,available,imported_ismailia_listings
Apartment at Fox,"Rent billed monthly. Nearby: Supermarket / Grocery, Hospital / Medical Center, Restaurants & Cafes, Church, Gym, Public Transport Station. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Mirror | Room 2 (Double): Wardrobe, Fan, Window / View, Mirror | Room 3 (Double): AC, Desk, Iron & Ironing Board, Mirror",apartment,whole_apartment,6200,,,Ismailia,Fox,"3emara 12, Fox St",4.18 km,Suez Canal University,3,6,1,any,False,True,True,True,True,1,,available,imported_ismailia_listings
Studio at Sheikh Zayed,"Rent billed monthly. Nearby: Pharmacy, Hospital / Medical Center, Church, Supermarket / Grocery, Public Transport Station, ATM. Room breakdown — Room 1 (Double): Balcony, Private Bath, Mirror, Private TV",apartment,whole_apartment,4850,,,Ismailia,Sheikh Zayed,"El Share3 El Tegari, 3emara 110 - Ganb Gam3 Badr",4.99 km,Suez Canal University,1,2,1,any,True,False,True,True,False,1,,available,imported_ismailia_listings
Apartment at Hay El Salam,"Rent billed monthly. Nearby: Supermarket / Grocery, Restaurants & Cafes, Mosque, Gym, Pharmacy, ATM. Room breakdown — Room 1 (Triple): Private Bath, Fan, Wardrobe, Window / View, Iron & Ironing Board | Room 2 (Triple): AC, Private Bath, Wardrobe, Mirror, Desk",apartment,whole_apartment,5400,,,Ismailia,Hay El Salam,"El Bahary St, 3emara 50",3.82 km,Suez Canal University,2,6,1,any,True,False,True,True,False,1,,available,imported_ismailia_listings
Studio at Sheikh Zayed,"Rent billed monthly. Nearby: Dry Clean / Laundry, ATM, Gym, Restaurants & Cafes, Hospital / Medical Center, Bakery. Room breakdown — Room 1 (Single): Balcony, Mirror, Wardrobe, Private TV",apartment,whole_apartment,3100,,,Ismailia,Sheikh Zayed,"El Qamash St, 3emara 9 - Wara El Share3 El Tegari",4.42 km,Suez Canal University,1,1,1,any,True,True,False,True,True,1,,available,imported_ismailia_listings
Studio at Sheikh Zayed,"Rent billed monthly. Nearby: Bakery, Gym, Restaurants & Cafes, Hospital / Medical Center, Dry Clean / Laundry, Mosque. Room breakdown — Room 1 (Double): Private Bath, Balcony, Fan, Mirror",apartment,whole_apartment,4850,,,Ismailia,Sheikh Zayed,"El Share3 El Tegari, 3emara 110 - Ganb Gam3 Badr",4.37 km,Suez Canal University,1,2,1,any,False,True,True,True,True,1,,available,imported_ismailia_listings
Shared Room at Hay El Salam,"Rent billed monthly. Nearby: Bakery, Mosque, Supermarket / Grocery, Dry Clean / Laundry, Public Transport Station, Pharmacy. Room breakdown — Room 1 (Triple): Private Bath, Balcony, Wardrobe, Fan, Desk",room,,,4050,,Ismailia,Hay El Salam,"El Bahary St, 3emara 50",3.82 km,Suez Canal University,1,3,1,any,True,True,False,True,False,1,,available,imported_ismailia_listings
Apartment at El Khamssa,"Rent billed semester. Nearby: Mosque, Dry Clean / Laundry, Pharmacy, ATM, Church, Public Transport Station. Room breakdown — Room 1 (Single): Private Bath, Mirror, Desk, Window / View | Room 2 (Single): Study Desk & Chair, Iron & Ironing Board, Private TV | Room 3 (Single): Wardrobe, Mirror, Window / View, Desk | Room 4 (Single): AC, Wardrobe, Mirror, Window / View",apartment,whole_apartment,29450,,,Ismailia,El Khamssa,"El 500 Wahda, 3emara 12 - Odam Saydaleyet El Salam",1.19 km,Suez Canal University,4,4,1,any,False,True,True,True,True,4,,available,imported_ismailia_listings
Apartment at El Mamar,"Rent billed semester. Nearby: Hospital / Medical Center, Public Transport Station, Supermarket / Grocery, Pharmacy, Restaurants & Cafes, Gym. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Wardrobe | Room 2 (Double): Wardrobe, Fan, Window / View, Mirror | Room 3 (Single): Study Desk & Chair, Iron & Ironing Board, Private TV",apartment,whole_apartment,29900,,,Ismailia,El Mamar,"El Sultan Hussein St, 3emara 12 - Fo2 Saydaleyet Orabi",4.93 km,Suez Canal University,3,5,1,any,True,True,True,False,False,4,,available,imported_ismailia_listings
Apartment at Arishiyat Misr,"Rent billed monthly. Nearby: Bakery, Church, Supermarket / Grocery, ATM, Gym, Mosque. Room breakdown — Room 1 (Double): Private Bath, Balcony, Fan, Mirror | Room 2 (Double): AC, Desk, Iron & Ironing Board, Mirror | Room 3 (Double): Private Bath, Private TV, Desk, Wardrobe",apartment,whole_apartment,5650,,,Ismailia,Arishiyat Misr,"3emara 40, Arishiyat Misr - Ganb El Madrasa El Ebteda2i",4.92 km,Suez Canal University,3,6,1,any,True,True,True,False,False,1,,available,imported_ismailia_listings
Apartment at Arishiyat Misr,"Rent billed monthly. Nearby: Mosque, Dry Clean / Laundry, Hospital / Medical Center, Bakery, ATM, Public Transport Station. Room breakdown — Room 1 (Double): AC, Desk, Iron & Ironing Board, Mirror | Room 2 (Double): Private Bath, Balcony, Fan, Mirror | Room 3 (Double): Wardrobe, Fan, Window / View, Mirror",apartment,whole_apartment,5900,,,Ismailia,Arishiyat Misr,"3emara 25, Portsaid St - Ganb Mezla2an El Atr",4.59 km,Suez Canal University,3,6,1,any,True,False,True,True,True,1,,available,imported_ismailia_listings
